Name,Total_Structures_Looked,Total_Output,Total_Running_time,Ave/Conf(s),Ave/Out(s)
c17a,81,0,0.04623006,0.000570741,
c8s,27,25,0.007598717,0.000281434,0.000303949
c5,1,1,0.000384006,0.000384006,0.000384006
c17,19683,4875,3.802653639,0.000193195,0.000780032
c15f,6561,2145,1.204476079,0.000183581,0.000561527
c20n,129140163,,,,
c15e,6561,2323,1.240993129,0.000189147,0.00053422
c18n,14348907,5425739,1981.986191,0.000138128,0.000365293
c9,81,81,0.020294083,0.000250544,0.000250544
c12p1,27,9,0.011057996,0.000409555,0.001228666
c19,531441,62036,35.61728892,6.70E-05,0.000574139
c9s,81,65,0.02039441,0.000251783,0.00031376
c15a,6561,2244,1.22263812,0.000186349,0.000544848
c7c,27,25,0.006165212,0.000228341,0.000246608
c18,59049,19740,11.60494986,0.000196531,0.00058789
c15,6561,2238,1.199540635,0.000182829,0.000535988
c7n,81,71,0.015558267,0.000192077,0.000219131
c8,3,3,0.001152895,0.000384298,0.000384298
c15c,6561,2160,1.202642285,0.000183302,0.000556779
c12p,27,9,0.010384145,0.000384598,0.001153794
c15helix,6561,2873,1.509535645,0.000230077,0.000525421
c21,531441,131183,78.44238719,0.000147603,0.000597962
c15b,6561,2210,1.194120613,0.000182003,0.000540326
c8si,27,25,0.007331577,0.00027154,0.000293263
c26,129140163,2826,3.856075028,2.99E-08,0.001364499
c17l,4782969,1963497,727.0606752,0.00015201,0.000370289
c5n,9,9,0.001607218,0.00017858,0.00017858
c15d,6561,2193,1.199371634,0.000182803,0.000546909
c6,3,3,0.000793603,0.000264534,0.000264534
c10n,2187,1541,0.448158478,0.000204919,0.000290823
c6n,27,25,0.004606259,0.000170602,0.00018425
c12p0,27,9,0.010997701,0.000407322,0.001221967
c4,3,3,0.000671183,0.000223728,0.000223728
c9n,729,553,0.148265968,0.000203383,0.000268112
c8a,27,25,0.007247595,0.000268429,0.000289904
c15g,6561,2283,1.199688273,0.000182851,0.000525488
c16,177147,56468,25.21739778,0.000142353,0.000446579
c7,3,3,0.001014923,0.000338308,0.000338308