Molecule,Average_Conformer_Generate_Time
c4,0.183333333
c5,0.65
c5n,1.03875
c6,0.246666667
c6n,1.4245
c7,0.68
c7c,0.756060606
c7n,0.618846154
c8,0.68
c8a,1.184
c8s,1.57826087
c8si,1.575833333
c9,2.6525
c9n,0.293661202
c9s,0.393020833
c10n,0.457901235
c12p,16
c12p0,18.1435
c12p1,6.253571429
c15,0.145152807
c15helix,0.260238403
c15a,0.133142458
c15b,0.145233051
c15c,0.153857729
c15d,0.145492958
c15e,0.148622291
c15f,0.159529554
c15g,0.15279085
c16,0.201155914
c17,0.184817734
c17a,26.595
c17l,0.243329886
c18,0.160317975
c18n,0.539008864
c19,0.174209809
c20n,0.572168142
c21,0.208129165
c26,0.23238758