Molecule,Diamond,SPMC,LMCS,MCLMCS,MCMM
c4,0.000223728,0.183333333,5.6425,6.66,5.776666667
c5,0.000384006,0.65,18.15,17.68,0.61
c6,0.000264534,0.246666667,10.29,8.7,6.413333333
c7,0.000338308,0.68,22.37,22.52,23.26
c8,0.000384298,0.68,22.38,23.99,30.47
c9,0.000250544,2.6525,3.609166667,3.066363636,3.255
c15,0.000535988,0.145152807,0.161471758,0.143016241,0.127273438
c16,0.000446579,0.201155914,0.123017677,0.106495185,0.123320826
c17,0.000780032,0.184817734,0.17318218,0.147411504,0.185424929
c18,0.00058789,0.160317975,0.141546776,0.133797309,0.112467053
c19,0.000574139,0.174209809,0.152896664,0.114573876,0.105498826
c21,0.000597962,0.208129165,0.211044226,0.164346805,0.126136671
c26,0.001364499,0.23238758,0.162225398,0.14655761,0.10426025
c5n,0.00017858,1.03875,3.717142857,3.158571429,2.5
c6n,0.00018425,1.4245,1.998,1.7255,1.358
c7c,0.000246608,0.756060606,1.137272727,0.958484848,0.719090909
c7n,0.000219131,0.618846154,0.755769231,0.711923077,0.569230769
c8a,0.000289904,1.184,1.270571429,1.086571429,1.071714286
c8s,0.000303949,1.57826087,1.89,1.519130435,1.468695652
c9n,0.000268112,0.293661202,0.262704918,0.241092896,0.262622951
c9s,0.00031376,0.393020833,0.482395833,0.397083333,0.378229167
c10n,0.000290823,0.457901235,0.362716895,0.37838964,0.396524184
c12p,0.001153794,16,30.85,22.215,17.325
c15a,0.000544848,0.133142458,0.170946792,0.144243346,0.12227027
c15b,0.000540326,0.145233051,0.177894315,0.157651976,0.12710834
c15c,0.000556779,0.153857729,0.17074883,0.152656132,0.11978836
c15d,0.000546909,0.145492958,0.148079057,0.152453988,0.12598916
c15e,0.00053422,0.148622291,0.137306306,0.133652327,0.120573414
c15f,0.000561527,0.159529554,0.14140411,0.124588859,0.129655629
c15g,0.000525488,0.15279085,0.134912281,0.124791966,0.126397059
c17a,0,26.595,54.58,29.82,26.92
c17l,0.000370289,0.243329886,0.206392801,0.165581194,0.152466031
c18n,0.000365293,0.539008864,0.312892453,0.260477477,0.402803379
c20n,0,0.572168142,0.334545959,0.287936017,0.285447458
c8si,0.000293263,1.575833333,1.872608696,1.530869565,1.512173913
c12p0,0.001221967,18.1435,26.655,25.114,18.843
c12p1,0.001228666,6.253571429,7.834285714,8.483428571,5.992142857
c15helix,0.000525421,0.260238403,0.290291422,0.253509759,0.191948037